Model,Class,Precision,Recall,F1,Accuracy
Llama-3.1-8B-Instruct,pro_public,0.9007561436672968,0.9076190476190477,0.9041745730550285,0.9076190476190477
Llama-3.1-8B-Instruct,pro_private,0.8757396449704142,0.9117043121149897,0.8933601609657947,0.9117043121149897
Llama-3.1-8B-Instruct,neutral,0.9079620160701242,0.8772053634438955,0.8923187365398421,0.8772053634438955
Llama-3.2-3B-Instruct,pro_public,0.8485130111524164,0.8695238095238095,0.8588899341486359,0.8695238095238095
Llama-3.2-3B-Instruct,pro_private,0.8289345063538612,0.8706365503080082,0.8492739108662994,0.8706365503080082
Llama-3.2-3B-Instruct,neutral,0.8599105812220567,0.8143966125617502,0.8365349764407394,0.8143966125617502
Qwen2.5-7B-Instruct,pro_public,0.8901098901098901,0.9257142857142857,0.907563025210084,0.9257142857142857
Qwen2.5-7B-Instruct,pro_private,0.9149590163934426,0.9168377823408624,0.9158974358974359,0.9168377823408624
Qwen2.5-7B-Instruct,neutral,0.9278951201747997,0.8990825688073395,0.9132616487455197,0.8990825688073395
Gemma-2-9B-IT,pro_public,0.8641860465116279,0.8847619047619047,0.8743529411764706,0.8847619047619047
Gemma-2-9B-IT,pro_private,0.855609756097561,0.9004106776180698,0.8774387193596799,0.9004106776180698
Gemma-2-9B-IT,neutral,0.8888888888888888,0.8412138320395202,0.864394488759971,0.8412138320395202
Mistral-7B-Instruct-v0.3,pro_public,0.8845070422535212,0.8971428571428571,0.8907801418439716,0.8971428571428571
Mistral-7B-Instruct-v0.3,pro_private,0.8638132295719845,0.9117043121149897,0.8871128871128872,0.9117043121149897
Mistral-7B-Instruct-v0.3,neutral,0.8991097922848664,0.8553281580804517,0.8766726943942134,0.8553281580804517
